Upstream commit,Date,Summary,Paths touched,Decision,Notes
d008e7dfecb5f27149a328d2e0a12c7d24d3fc52,2023-11-27,(Ada) Improved pragma support,src/backend/unparser/nameQualificationSupport.C src/frontend/Experimental_Ada_ROSE_Connection src/frontend/SageIII/sageInterface/sageInterfaceAda.C src/frontend/SageIII/sageInterface/sageInterfaceAda.h,drop,Ada pragma support dropped
03056cbd7671d5eaad7801f899cecedc49c55271,2023-11-27,(Ada) resolve rebase conflicts with master,src/frontend/Experimental_Ada_ROSE_Connection/AdaMaker.C src/frontend/Experimental_Ada_ROSE_Connection/AdaStatement.C src/frontend/Experimental_Ada_ROSE_Connection/Ada_to_ROSE.C src/frontend/Experimental_Ada_ROSE_Connection/Ada_to_ROSE.h,drop,Ada rebase conflict resolution dropped
901faacd4a74b94fd76a7f6bc665afdd8935a624,2023-11-27,(Ada) preprocessor handling,src/backend/unparser/AdaCodeGeneration src/backend/unparser/languageIndependenceSupport/unparseLanguageIndependentConstructs.C src/frontend/SageIII/attachPreprocessingInfo.C src/frontend/SageIII/attachPreprocessingInfoTraversal.C src/frontend/SageIII/rose_attributes_list.C src/frontend/SageIII/rose_attributes_list.h src/frontend/SageIII/sageInterface/sageInterfaceAda.C src/frontend/SageIII/sageInterface/sageInterfaceAda.h,drop,Ada preprocessor handling dropped
d409a7bb62032884d4d743174b277d80e7046266,2023-11-28,(Ada) No declarative blocks for pragmas,src/frontend/Experimental_Ada_ROSE_Connection/AdaStatement.C src/frontend/SageIII/sageInterface/sageInterfaceAda.C,drop,Ada frontend changes dropped
43784a626a4eabef7534e21a97ccca007a83bcb3,2023-11-29,(codethorn) Add convenience default ctor,tools/CodeThorn/src/ClassHierarchyAnalysis.h,drop,CodeThorn tool dropped
dcad748f3e714d0f63de304bf6648f15df608128,2023-12-01,(Release) Incremented version to 0.11.145.9,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure
707fd0aaa273596167c590b17281ccbf21bb919a,2023-12-01,wip,src/backend/unparser/AdaCodeGeneration src/frontend/SageIII/sageInterface/sageInterfaceAda.C src/frontend/SageIII/sageInterface/sageInterfaceAda.h,drop,Ada changes dropped
8c172c419033009a5a93f3c9ab87426670bb434e,2023-12-01,(Ada) Ada-style get_qualified_name support,src/ROSETTA/Grammar/Statement.code src/ROSETTA/Grammar/Support.code,drop,Ada qualified name support dropped
51a496d6140bbca214016fe5c3abb30e486520ed,2023-12-03,(Ada) Revise with clause representation,src/backend/unparser/AdaCodeGeneration/unparseAda_statements.C src/backend/unparser/nameQualificationSupport.C src/frontend/Experimental_Ada_ROSE_Connection/AdaStatement.C src/frontend/Experimental_Ada_ROSE_Connection/Ada_to_ROSE.h src/frontend/SageIII/sageInterface/sageInterfaceAda.C src/frontend/SageIII/sageInterface/sageInterfaceAda.h,drop,Ada with clause changes dropped
99a83ac30a2d93002246d564d88960872e527368,2023-12-06,(Release) Incremented version to 0.11.145.10,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure
da864db83f963e3491db06e61e8ceb3e6ae9a1f1,2023-12-11,(Documentation) Fixed missing documentation for ByteOrder::Endianness,src/Rose/BinaryAnalysis/ByteOrder.h,drop,Binary analysis docs dropped
b9bda9114289cdf9e67c76456a51dfb48f8e1c9b,2023-12-13,(Engineering) Fixed some compiler warnings,src/Rose/BinaryAnalysis/ByteCode/Cil.C src/Rose/BinaryAnalysis/InstructionSemantics/DispatcherCil.C src/Rose/BinaryAnalysis/Partitioner2/EngineJvm.C src/frontend/BinaryFormats/CliHeader.C src/frontend/BinaryFormats/JvmComposite.C src/frontend/Disassemblers/SgAsmCilInstruction.C src/frontend/Disassemblers/SgAsmJvmInstruction.C,drop,Binary analysis warnings dropped
e919659eb656183665542a0cc40c89f90289329a,2023-12-13,(Release) Incremented version to 0.11.145.11,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure
965e3fbc5e0d0e58a12559008fb0a9242c839fb7,2023-12-14,(Utility) Functional assertions with Rose::affirm,src/Makefile.am src/Rose/Affirm.h src/Rose/CMakeLists.txt src/Rose/Tupfile,drop,Rose library affirm API dropped
297e8b4d23fad554e7b138bd11cdda4c75dda040,2023-12-14,(Fortran Flang) Update to latest LLVM/Flang,src/3rdPartyLibraries/flang-parser/Makefile.am src/ROSETTA/Grammar/Support.code src/frontend/Experimental_Flang_ROSE_Connection src/frontend/SageIII/sage_support/sage_support.C,pick-partial,Flang parser update and autotools Makefile.am skipped; Reverted changes in src/ROSETTA/Grammar/Support.code; src/frontend/SageIII/sage_support/sage_support.C to remove drop-list reintroductions.
5903073dadc76651c91e0a45b48240a3a315243d,2023-12-14,(Release) Incremented version to 0.11.145.12,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure
4963bb0d2f465966e53dd9cfcf99dc238a086db1,2023-12-15,(ByteCode) Implement CFG,build config/support-rose.m4 src/AstNodes/BinaryAnalysis src/AstNodes/Jovial src/ROSETTA/src/binaryInstruction.C src/ROSETTA/src/jovialNodes.C src/Rose/AST/io/delete.C src/Rose/BinaryAnalysis/ByteCode src/Rose/BinaryAnalysis/Partitioner2 src/frontend/BinaryFormats,drop,Binary analysis and Jovial changes dropped
2120d3a64040ce3b4993b7513df2f4633e17ee98,2023-12-17,(Release) Incremented version to 0.11.145.13,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure
2da8ba0391ff4a5a0b4af4e66032b5e888710052,2023-12-19,(AstUtil) Support operator mod/read/call set analysis with annotations.,src/midend/astUtil src/midend/astUtil/annotation src/midend/astUtil/astInterface src/midend/astUtil/astSupport,pick,AstUtil operator side effect annotation updates; Reverted changes in src/midend/astUtil/astInterface/AstInterface.C; src/midend/astUtil/astInterface/AstInterface.h to remove drop-list reintroductions.
66b33310d435026de50b5b9f4a80c6384a9f15da,2023-12-19,(Release) Incremented version to 0.11.145.14,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure
73be4cd1dc40b0f3941a5937eee48c462f52f2d4,2024-01-04,(Ada) added compilation pragma support,src/frontend/Experimental_Ada_ROSE_Connection/parser/asis_adapter/source/asis_adapter-unit.adb,drop,Ada ASIS adapter changes dropped
30287c667f35618a8346d2f6088e2e51a41e7028,2024-01-04,(Testing) Fixups to ensure build when tests directory is absent,.gitlab-ci.yml Makefile.am config/support-rose.m4 scripts/Makefile.am,drop,Upstream test absence fixes and autotools GitLab changes dropped
7a5a0970bc038c4dc899098a6899da34c37330b7,2024-01-04,(Fortran Flang) Implemented KindParam,src/frontend/Experimental_Flang_ROSE_Connection src/frontend/Experimental_General_Language_Support/SageTreeBuilder.C src/frontend/Experimental_General_Language_Support/SageTreeBuilder.h,pick,Flang KindParam and SageTreeBuilder updates; Reverted changes in src/frontend/Experimental_General_Language_Support/SageTreeBuilder.C; src/frontend/Experimental_General_Language_Support/SageTreeBuilder.h to remove drop-list reintroductions.
790201b6e8227e1cd13b015f80843b1089376634,2024-01-04,(Fortran Flang) Implemented parameter type modifier (const),src/frontend/Experimental_Flang_ROSE_Connection/sage-build.cc src/frontend/Experimental_General_Language_Support/SageTreeBuilder.C src/frontend/Experimental_General_Language_Support/general_language_translation.h,pick,Flang parameter type modifier updates; Reverted changes in src/frontend/Experimental_General_Language_Support/SageTreeBuilder.C; src/frontend/Experimental_General_Language_Support/general_language_translation.h to remove drop-list reintroductions.
b26b82aeaa10906ebe40fd3cb06e9194c15604be,2024-01-04,(Fortran Flang) Implemented InternalSubprogramPart,src/backend/unparser/unparser.C src/frontend/Experimental_Flang_ROSE_Connection src/frontend/Experimental_General_Language_Support/SageTreeBuilder.C src/frontend/Experimental_General_Language_Support/SageTreeBuilder.h,pick,Flang InternalSubprogramPart updates; Reverted changes in src/backend/unparser/unparser.C; src/frontend/Experimental_General_Language_Support/SageTreeBuilder.C; src/frontend/Experimental_General_Language_Support/SageTreeBuilder.h to remove drop-list reintroductions.
635d38ce1ce6d2d909df374aead675e31f9ee944,2024-01-04,(Release) Incremented version to 0.11.145.15,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop,Version bump plus EDG_VERSION and configure
dd8faa3279fad1217bd2cc71ceb1b692e17f8cba,2024-01-04,(Policy) Added some words to the acceptable non-English word list,scripts/policies/RoseNamespace.pl,drop,Reverted changes in scripts/policies/RoseNamespace.pl to remove drop-list reintroductions; no changes kept.
8bc911687f13f7c367f6b4ccf108b7413ea1144a,2024-01-04,"(Architecture) Add directories, build rules, and first files",install-staging/include/rose/Rose/BinaryAnalysis/Architecture/Tupfile src/CMakeLists.txt src/Makefile.am src/Rose/BinaryAnalysis.h src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/BasicTypes.h src/Rose/BinaryAnalysis/CMakeLists.txt src/Rose/Makefile.am,drop,Binary analysis architecture subsystem dropped
3d284cc531e01a1a2aaaa7b30cc44b158a1fda44,2024-01-04,(Architecture) Added diagnostic facility,src/Makefile.am src/Rose/BinaryAnalysis/Architecture/BasicTypes.C src/Rose/BinaryAnalysis/Architecture/BasicTypes.h src/Rose/BinaryAnalysis/Architecture/CMakeLists.txt src/Rose/BinaryAnalysis/Architecture/Tupfile src/Rose/Diagnostics/Diagnostics.C src/Rose/Makefile.am,drop,Binary analysis architecture diagnostics dropped
257116bbc3d15e4de9030716529cfdc9c95f11f4,2024-01-04,(Architecture) Added exception classes,src/Makefile.am src/Rose/BinaryAnalysis/Architecture.h src/Rose/BinaryAnalysis/Architecture/BasicTypes.h src/Rose/BinaryAnalysis/Architecture/CMakeLists.txt src/Rose/BinaryAnalysis/Architecture/Exception.C src/Rose/BinaryAnalysis/Architecture/Exception.h src/Rose/BinaryAnalysis/Architecture/Tupfile src/Rose/Makefile.am,drop,Binary analysis architecture exceptions dropped
769b21cb67015a03eeeff5797ab13846100c6749,2024-01-04,(Architecture) Added architecture registry functions,src/Rose/BinaryAnalysis/Architecture/Base.C src/Rose/BinaryAnalysis/Architecture/Base.h src/Rose/BinaryAnalysis/Architecture/BasicTypes.C src/Rose/BinaryAnalysis/Architecture/BasicTypes.h,drop,Binary analysis architecture registry dropped
0393973876e38e417386473e725d3a8bdfb590ee,2024-01-04,(Architecture) Added register dictionary property,src/Rose/BinaryAnalysis/Architecture/Base.C src/Rose/BinaryAnalysis/Architecture/Base.h,drop,Binary analysis architecture register dictionary dropped
737d9b1bb7a933b1380a101e3c995308b80076a1,2024-01-04,"(Architecture) Added insn decoder, word size, byte order properties",src/Rose/BinaryAnalysis/Architecture/Base.C src/Rose/BinaryAnalysis/Architecture/Base.h src/Rose/BinaryAnalysis/Architecture/Exception.C src/Rose/BinaryAnalysis/Architecture/Exception.h,drop,Binary analysis architecture properties dropped
86757d02fbb4477e894803110b5422d3deecdbfb,2024-01-04,(Architecture) Special registers API,src/Rose/BinaryAnalysis/Architecture/Base.C src/Rose/BinaryAnalysis/Architecture/Base.h,drop,Binary analysis architecture special registers dropped
492784856cd8cc149f81ff77ed0d818d7233799c,2024-01-04,(Architecture) Added instruction semantics,src/Rose/BinaryAnalysis/Architecture/Base.C src/Rose/BinaryAnalysis/Architecture/Base.h,drop,Binary analysis instruction semantics dropped
f0ac440d2030439c68dc579c2974ad949d0d5e06,2024-01-04,(Architecture) Added calling conventions,src/Rose/BinaryAnalysis/Architecture/Base.C src/Rose/BinaryAnalysis/Architecture/Base.h,drop,Binary analysis calling conventions dropped
ed358641209debbbbe53d0b0355fe4b9defefedc,2024-01-04,(Architecture) Created classes for each architecture; register dictionaries,docs/Rose/rose.cfg.in src/Makefile.am src/Rose/BinaryAnalysis/Architecture src/Rose/Makefile.am,drop,Binary analysis architecture classes dropped
b53492df255f0a75c4d779e4a9884daf45fef095,2024-01-04,(Architecture) Insn decoders are part of the architecture,src/Makefile.am src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/BinaryLoader src/Rose/BinaryAnalysis/Debugger src/Rose/BinaryAnalysis/Disassembler src/Rose/BinaryAnalysis/InstructionProvider.h src/Rose/BinaryAnalysis/Partitioner2 src/Rose/StringUtility src/Rose/Makefile.am src/backend/asmUnparser/AsmUnparser_compat.C src/frontend/BinaryFormats src/frontend/Disassemblers/SgAsmInstruction.C tools/BinaryAnalysis/bat-ana.C,drop,Binary analysis architecture API change dropped
37bff85d34884de4e818c6f27f84271b9d218926,2024-01-04,(Architecture) Special registers stored in the register dictionary,src/Rose/BinaryAnalysis/RegisterDictionary.C src/Rose/BinaryAnalysis/RegisterDictionary.h,drop,Binary analysis register dictionary change dropped
4cf1946889ba5e12a5f032de83293204606707da,2024-01-04,(Architecture) ARM architectures are conditionally enabled,src/Rose/BinaryAnalysis/Architecture/ArmAarch32.C src/Rose/BinaryAnalysis/Architecture/ArmAarch32.h src/Rose/BinaryAnalysis/Architecture/ArmAarch64.C src/Rose/BinaryAnalysis/Architecture/ArmAarch64.h src/Rose/BinaryAnalysis/Architecture/BasicTypes.C,drop,Binary analysis ARM architecture gating dropped
5dd05301ed9d8de3f0d257230056b733711ea1c8,2024-01-04,(Architecture) Fixed makefile,src/Makefile.am,drop,Autotools makefile for binary analysis dropped
fe1da2b1f6ab8b770dc41dea2e195e9e5ac7c8fd,2024-01-04,(Architecture) Disassembler uses special registers from Architecture,src/Rose/BinaryAnalysis/Disassembler,drop,Binary analysis disassembler special registers dropped
092eb4b47d109176790ee9abd7ec89cf7d68ccf5,2024-01-04,(Architecture) Disassembler byte order comes from Architecture,src/Rose/BinaryAnalysis/Disassembler,drop,Binary analysis disassembler byte order dropped
78bd05666bf601d67e71db297d2d6cc8c6359bf4,2024-01-04,(Architecture) P2::Engine uses Architecture,src/Rose/BinaryAnalysis/BestMapAddress.C src/Rose/BinaryAnalysis/Partitioner2 src/Rose/BinaryAnalysis/Unparser src/backend/asmUnparser/AsmUnparser_compat.C tools/BinaryAnalysis tutorial/binaryStrings.C,drop,Binary analysis partitioner architecture usage dropped
54c83c3288f1358e4ab51acff0aa891affb64741,2024-01-04,(Architecture) Register dictionaries are built in Architecture,src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/CallingConvention.C src/Rose/BinaryAnalysis/InstructionSemantics src/Rose/BinaryAnalysis/RegisterDictionary src/Rose/BinaryAnalysis/Unparser src/backend/asmUnparser/AsmUnparser.C src/frontend/Disassemblers/SgAsmM68kInstruction.C src/frontend/Disassemblers/SgAsmPowerpcInstruction.C src/frontend/Disassemblers/SgAsmX86Instruction.C,drop,Binary analysis register dictionary API change dropped
efadbc682d60e6dee524cee1957f364ddfafda60,2024-01-04,(Architecture) Add unparser API,src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/Disassembler src/Rose/BinaryAnalysis/Unparser,drop,Binary analysis unparser API change dropped
e874df7070548f048d226a74201bf722852add7d,2024-01-04,(Architecture) InstructionProvider uses architecture,src/Rose/BinaryAnalysis/InstructionProvider src/Rose/BinaryAnalysis/Partitioner2/Partitioner.C src/Rose/BinaryAnalysis/Partitioner2/Partitioner.h tools/BinaryAnalysis/bat-native-trace.C,drop,Binary analysis instruction provider architecture dropped
5d8e088e91288d8e2d2c69942d4401a16b857b49,2024-01-04,(Architecture) Semantic dispatcher uses Architecture; new API,src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/CallingConvention.C src/Rose/BinaryAnalysis/Concolic src/Rose/BinaryAnalysis/DataFlow.C src/Rose/BinaryAnalysis/Disassembler src/Rose/BinaryAnalysis/FeasiblePath.C src/Rose/BinaryAnalysis/InstructionSemantics src/Rose/BinaryAnalysis/ModelChecker/PartitionerModel.C src/Rose/BinaryAnalysis/NoOperation.C src/Rose/BinaryAnalysis/Partitioner2 src/Rose/BinaryAnalysis/PointerDetection.C src/Rose/BinaryAnalysis/StackDelta.C src/Rose/BinaryAnalysis/ToSource.C src/Rose/BinaryAnalysis/Unparser/Base.h src/frontend/Disassemblers src/frontend/Disassemblers/SgAsmM68kInstruction.C src/frontend/Disassemblers/SgAsmX86Instruction.C tutorial/binaryAnalysis/staticSemantics.C,drop,Binary analysis dispatcher architecture API dropped
c1a1adbe6d4c407635a9fc9c40d50d387a4c2856,2024-01-04,(Architecture) Removed Disassembler semantic dispatcher API,src/Rose/BinaryAnalysis/CallingConvention.C src/Rose/BinaryAnalysis/Disassembler src/Rose/BinaryAnalysis/FeasiblePath.C src/Rose/BinaryAnalysis/InstructionCache.h src/Rose/BinaryAnalysis/InstructionProvider src/Rose/BinaryAnalysis/Partitioner2 src/Rose/BinaryAnalysis/PointerDetection.C src/Rose/BinaryAnalysis/StackDelta.C src/Rose/BinaryAnalysis/ToSource.C,drop,Binary analysis dispatcher API removal dropped
37a3188d4a3eb30c305cb80e474606c2dd00834d,2024-01-04,(Architecture) Added partitioner function prologues to architectures,src/Makefile.am src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/Partitioner2/EngineBinary.C src/Rose/Makefile.am,drop,Binary analysis function prologue hooks dropped
ef7fd4383d6ad0200614e14bfe191a9f28db61ed,2024-01-04,(Architecture) Added partitioner basic block creation hooks,src/Rose/BinaryAnalysis/Architecture/Base.C src/Rose/BinaryAnalysis/Architecture/Base.h src/Rose/BinaryAnalysis/Architecture/Motorola.C src/Rose/BinaryAnalysis/Architecture/Motorola.h src/Rose/BinaryAnalysis/Architecture/X86.C src/Rose/BinaryAnalysis/Architecture/X86.h src/Rose/BinaryAnalysis/Partitioner2/EngineBinary.C,drop,Binary analysis basic block hooks dropped
d4dea85f9ddd40896b6bf0218efdf705153bd48c,2024-01-04,(Architecture) Fixed code policy violations,src/Rose/BinaryAnalysis/Architecture.h,drop,Binary analysis policy cleanup dropped
12aa4a4f3e0277221f3d68af89f5152661bcd2d5,2024-01-04,(Architecture) Moved calling convention into Architecture,src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/CallingConvention src/Rose/BinaryAnalysis/ConcreteLocation.C src/Rose/BinaryAnalysis/Disassembler src/Rose/BinaryAnalysis/InstructionProvider.C,drop,Binary analysis calling convention move dropped
626f2563fe60253b2a7e46dd53cc200c6f53f45b,2024-01-04,(Architecture) Removed references to deprecated functions,src/Rose/BinaryAnalysis/Architecture/X86.C src/Rose/BinaryAnalysis/BestMapAddress.C src/Rose/BinaryAnalysis/CallingConvention.C src/Rose/BinaryAnalysis/Debugger/Base.C src/Rose/BinaryAnalysis/InstructionSemantics/NativeSemantics.C src/Rose/BinaryAnalysis/NoOperation.C src/Rose/BinaryAnalysis/Partitioner2/ParallelPartitioner.C src/Rose/BinaryAnalysis/PointerDetection.C src/Rose/BinaryAnalysis/StackDelta.C src/Rose/BinaryAnalysis/ToSource.C tools/BinaryAnalysis/bat-native-trace.C,drop,Binary analysis deprecated references dropped
c0150ae7a701b0b24dbaf49a7aee3eb4d76c446d,2024-01-04,(Architecture) Fixed compiler warnings related to new Architecture API,src/Rose/BinaryAnalysis/NoOperation.C src/frontend/Disassemblers/SgAsmX86Instruction.C,drop,Binary analysis warning fixes dropped
d91294acad04750bd11b9152315c030c5b13fd38,2024-01-04,(Architecture) Remvoed SageBuilderAsm instruction builders,src/frontend/SageIII/sageInterface/SageBuilderAsm.C src/frontend/SageIII/sageInterface/SageBuilderAsm.h,drop,Binary analysis SageBuilderAsm removal dropped
de4855f3a2afcdc0deb77bae2f79849d02a855ae,2024-01-04,(Architecture) SgAsmInstruction points to Architecture,src/AstNodes/BinaryAnalysis/SgAsmInstruction.h src/Rose/BinaryAnalysis/ByteOrder.h src/Rose/BinaryAnalysis/Disassembler src/frontend/BinaryFormats/CilImpl.C src/frontend/Disassemblers/SgAsmInstruction.C src/frontend/SageIII/sageInterface/SageBuilderAsm.C,drop,Binary analysis instruction architecture property dropped
5687b25d450a5f2c6bd6bcbbee7c467afecf72cc,2024-01-04,(Rosebud) Regenerated SgAsm nodes due to SgAsmInstruction changes,src/ROSETTA/src/binaryInstruction.C src/generated/BinaryAnalysis,drop,Binary analysis regenerated SgAsm nodes dropped
c77884286c9fbc168ebdf82a7661e11448b6b5c7,2024-01-04,(Architecture) SgAsmInstruction::description moved to architecture,src/AstNodes/BinaryAnalysis src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/Unparser/Base.C src/frontend/Disassemblers,drop,Binary analysis instruction description move dropped
5e066403fcdcd8b35eb9cb7d6aec69bde63121a8,2024-01-04,(Architecture) SgAsmInstruction::terminatesBasicBlock is moved,src/AstNodes/BinaryAnalysis src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/ByteCode/Analysis.C src/frontend/Disassemblers,drop,Binary analysis terminatesBasicBlock move dropped
6000a9afdf13ab63ff82f755a2b9febb73428330,2024-01-04,(Architecutre) SgAsmInstruction function call detection moved,src/AstNodes/BinaryAnalysis src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/ByteCode/Analysis.C src/Rose/BinaryAnalysis/Disassembler/Base.C src/Rose/BinaryAnalysis/ModelChecker/PartitionerModel.C src/Rose/BinaryAnalysis/Partitioner2 src/frontend/Disassemblers,drop,Binary analysis function call detection move dropped
baa61d1dcdc375a321064f82ab85734444b7ceb3,2024-01-04,(Architecture) SgAsmInstruction function return detection moved,src/AstNodes/BinaryAnalysis src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/ByteCode/Analysis.C src/Rose/BinaryAnalysis/Partitioner2/Partitioner.C src/frontend/Disassemblers,drop,Binary analysis function return detection move dropped
144d0d9bc572f0529fefe589518c8911eacd51e6,2024-01-04,(Architecture) SgAsmInstruction successor functions moved,src/AstNodes/BinaryAnalysis src/Rose/BinaryAnalysis/Architecture src/Rose/BinaryAnalysis/ByteCode/Analysis.C src/Rose/BinaryAnalysis/Disassembler src/Rose/BinaryAnalysis/NoOperation.C src/Rose/BinaryAnalysis/Partitioner2 src/frontend/Disassemblers src/frontend/SageIII/virtualCFG/virtualBinCFG.C,drop,Binary analysis successor and branch target move dropped
