Upstream commit,Upstream date,Summary,Paths touched,Decision,Apply method,REX commit,Validation,Notes
5c129de0a32b0801157364c2749205089c366eea,2026-01-16,(fix) dangling pointers in constant folding mode,src/frontend/SageIII/astPostProcessing/fixupConstantFoldedValues.C,drop-superseded,not-applied,,inspected upstream diff; cmake --build build -j32 after prior constant-folding port,"upstream patch is explicitly temporary type-specific deletion workaround; REX keeps memory-pooled expression trees allocated and detaches instead, so dangling delete issue is superseded"
9c9c263b270d51f9499433b5f2cc46f153622368,2026-01-16,(Engineering) Fix compiler warnings issued by (Apple) clang,src/ROSETTA/Grammar/Support.code,drop-superseded,not-applied,,cmake --build build -j32 before classification,"Support.code warning cleanup conflicts with REX template differences and dropped UPC/legacy paths; current REX templates build cleanly, no semantic change ported"
d788d4bf6272e64a579b96ccb1e3b792c7ba3bcb,2026-01-16,(Release) Incremented version to 0.11.145.379,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
fc4bd1a5bd773a48ced61cbf999b30fc039dc0d7,2026-01-17,(codethorn) Use constant folded values for types,tools/CodeThorn/src/ExternalMangling.C tools/CodeThorn/src/RoseCompatibility.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
eba621833e884b6e28056e7c8323e9fae8a8a955,2026-01-17,(codethorn) remove unused parameter warnings,tools/CodeThorn/src/AbstractValue.C tools/CodeThorn/src/AliasAnalysis.C tools/CodeThorn/src/AnalysisReporting.C tools/CodeThorn/src/BoolLattice.C tools/CodeThorn/src/CPAstAttribute.C tools/CodeThorn/src/CSDFAnalysisBase.C tools/CodeThorn/src/CTAnalysis.C tools/CodeThorn/src/CallGraphExport.C tools/CodeThorn/src/ClassHierarchyExport.C tools/CodeThorn/src/ClassHierarchyWriter.C tools/CodeThorn/src/CodeThornLib.C tools/CodeThorn/src/CodeThornPasses.C tools/CodeThorn/src/ConstantConditionAnalysis.C tools/CodeThorn/src/CtxLattice.h tools/CodeThorn/src/CtxReachabilityLattice.C tools/CodeThorn/src/CtxUnfoldedAnalysis.C tools/CodeThorn/src/DFAnalysisBase.C tools/CodeThorn/src/DFTransferFunctions.C tools/CodeThorn/src/DataDependenceVisualizer.C tools/CodeThorn/src/EStateTransferFunctions.C tools/CodeThorn/src/ExternalMangling.C tools/CodeThorn/src/FunctionCallMapping2.C tools/CodeThorn/src/IOAnalyzer.C tools/CodeThorn/src/InternalChecks.C tools/CodeThorn/src/LTL.h tools/CodeThorn/src/LTLThornLib.C tools/CodeThorn/src/Lattice.C tools/CodeThorn/src/MemoryViolationAnalysis.C tools/CodeThorn/src/Normalization.C tools/CodeThorn/src/NormalizationCxx.C tools/CodeThorn/src/NormalizationInliner.C tools/CodeThorn/src/ObjectLayoutAnalysis.C tools/CodeThorn/src/ProgramInfo.C tools/CodeThorn/src/ProgramLocationsReport.C tools/CodeThorn/src/PropertyValueTable.C tools/CodeThorn/src/RERS_empty_specialization.C tools/CodeThorn/src/ReadWriteListener.C tools/CodeThorn/src/RewriteSystem.C tools/CodeThorn/src/Specialization.C tools/CodeThorn/src/SvcompWitness.C tools/CodeThorn/src/Thorn1CommandLineOptions.C tools/CodeThorn/src/VariableIdMappingExtended.C tools/CodeThorn/src/codethorn.C tools/CodeThorn/src/defUseQuery.C tools/CodeThorn/src/ltlthorn-lib/ParProLtlMiner.C tools/CodeThorn/src/ltlthorn-lib/SpotConnection.C tools/CodeThorn/src/thorn2.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
9f6fb8401f2c87646df1f12dc2ed565a677bf9ea,2026-01-17,(Release) Incremented version to 0.11.145.380,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
925d1492a200073c5af4c5fdbcb5a77af8f1733e,2026-01-17,(Engineering) Fix compiler warnings issued by (Apple) clang,src/ROSETTA/src/grammar.C,drop-superseded,not-applied,,inspected upstream diff; cmake --build build -j32,large ROSETTA grammar.C warning/format cleanup conflicts with REX source-tree and dropped-component changes; no unique semantic change ported
3b5d693b8335809af65d8a8ee836544d47478480,2026-01-18,(Release) Incremented version to 0.11.145.381,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
45cb763a096ed4ce0c18f50ae578ef4c227c924f,2026-01-22,(Sawyer) Fix rare std::out_of_bounds exception from logging facility,src/Sawyer/Message.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
e2c1d22495c40cd71d1f8d3afcdd465a27e1b101,2026-01-22,(codethorn) revise ExternalMangling module,tools/CodeThorn/src/ExternalMangling.C tools/CodeThorn/src/ExternalMangling.h tools/CodeThorn/src/RoseCompatibility.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
f5de19a36f37743fc96fc2e8f5076dcfd441bfde,2026-01-22,(fix) detect constant unfolding in some C code,src/frontend/SageIII/astPostProcessing/fixupConstantFoldedValues.C,pick-partial,manual-port,638bb67c39cca7e240fbdd167ed3305e9dccaca8,cmake --build build -j32; ctest --test-dir build -R 'functional_testTranslatorFoldedConstants|functional_testTranslatorUnfoldedConstants|constantFoldingTest_' --output-on-failure -j32,ported aggregate/designated-initializer unfold guard into both remove and preserve constant-folding paths; kept REX set containers and memory-pool detach behavior
944170ad510960bfd9848350a3afa9144d1aff97,2026-01-22,(Engineering) Fix compiler warnings issued by (Apple) clang,src/ROSETTA/Grammar/grammarSourceOfIRNodesAstFileIOSupport.macro,drop-superseded,not-applicable,,cmake --build build -j32,ROSETTA ast file IO support macro is absent in REX; warning-only cleanup has no retained target to port
f74076acc6bd5c69c272718a774e7a72408dde41,2026-01-22,(Release) Incremented version to 0.11.145.382,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
9b2bcd3af5cd339c3e066e10c63bb47b8606570c,2026-01-22,(Engineering) Fix compiler warnings issued by (Apple) clang,src/ROSETTA/Grammar/Support.code,drop-superseded,not-applied,,cmake --build build -j32,warning/style cleanup in heavily diverged Support.code; current REX Werror build is clean and semantic additions in dropped serialization/OpenMP areas are not applicable
71bf31e636c05876d2278a03d7d69961e13886e4,2026-01-23,(Release) Incremented version to 0.11.145.383,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
8524aa1709a8373844a0271ab8354ae659edc595,2026-01-27,(AstDiff) Revise SgClassDefn comparison to check base classes.,src/backend/unparser/unparser.C src/midend/astUtil/astInterface/AstInterface.C,drop,not-applicable,,not run: AstIdentical/AstDiff implementation not present in REX,AstIdentical/AstDiff comparison logic was previously dropped from REX; remaining unparser change only adds an explicit unsupported-node warning for SgBaseClass
32b31053ace484639abd828462237234a2e6206e,2026-01-27,(Release) Incremented version to 0.11.145.384,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
42d128219e43aa169c7e4121ce2d9fddd07793eb,2026-01-28,(Doxygen) Enable search for static html,docs/Rose/rose.cfg.in,drop,not-applicable,,not run: docs/Rose doxygen configuration not present in REX,ROSE static Doxygen search configuration has no retained REX target
956d2330df5cbfbab9d76d3834cc33e9ba07ff5c,2026-01-30,(AstDiff) Make AstIdentical check attributes of various declarations.,src/midend/astUtil/astInterface/AstInterface.C,drop,not-applicable,,not run: AstIdentical/AstDiff implementation not present in REX,AstIdentical declaration-attribute comparison has no retained REX target
547f5c5153dfe7ac765b082cab405e4ba9f39053,2026-01-30,(Release) Incremented version to 0.11.145.385,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
971099b1a06d149bfa8d6bb13e93e973af1f4520,2026-02-01,(BinaryAnalysis) Add first version of flatbuffer schema,src/Rose/BinaryAnalysis/Serialization/FlatbufferSchema.fbs src/Rose/BinaryAnalysis/Serialization/FlatbufferSchema_generated.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
e228ca1f64c3a6f6a7b8c770294215d91a455fea,2026-02-01,(BinaryAnalysis) Better name for generated flatbuffer header,src/Rose/BinaryAnalysis/Serialization/FlatbufferSchema.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
08d89e095082b410f6a15e9f02518c9ab533e6b0,2026-02-01,(BinaryAnalysis) Refactor SerialIo into frames and backends,CMakeLists.txt cmake/RoseConfig.cmake.in src/CMakeLists.txt src/Rose/BinaryAnalysis/BasicTypes.h src/Rose/BinaryAnalysis/CMakeLists.txt src/Rose/BinaryAnalysis/Concolic/ConcolicExecutor.C src/Rose/BinaryAnalysis/Partitioner2/Engine.C src/Rose/BinaryAnalysis/Partitioner2/Engine.h src/Rose/BinaryAnalysis/Partitioner2/EngineBinary.C src/Rose/BinaryAnalysis/Partitioner2/EngineJvm.C src/Rose/BinaryAnalysis/Partitioner2/Partitioner.C src/Rose/BinaryAnalysis/Partitioner2/Partitioner.h src/Rose/BinaryAnalysis/SerialIo.C src/Rose/BinaryAnalysis/SerialIo.h src/Rose/BinaryAnalysis/Serialization/BoostSerialIoBackend.C src/Rose/BinaryAnalysis/Serialization/CMakeLists.txt src/Rose/BinaryAnalysis/Serialization/FlatbufferSchema.fbs src/Rose/BinaryAnalysis/Serialization/FlatbufferSchema.h src/Rose/BinaryAnalysis/Serialization/FlatbufferStorage.C src/Rose/BinaryAnalysis/Serialization/FlatbufferStorage.h src/Rose/BinaryAnalysis/Serialization/FlatbuffersSerialIoBackend.C src/Rose/BinaryAnalysis/Serialization/SerialFrame.C src/Rose/BinaryAnalysis/Serialization/SerialFrame.h src/roseSupport/stringify.C src/roseSupport/stringify.h tools/BinaryAnalysis/bat-ana.C tools/BinaryAnalysis/bat-cc.C tools/BinaryAnalysis/bat-cfg.C tools/BinaryAnalysis/bat-cg.C tools/BinaryAnalysis/bat-container.C tools/BinaryAnalysis/bat-dataflow.C tools/BinaryAnalysis/bat-ddg.C tools/BinaryAnalysis/bat-dis.C tools/BinaryAnalysis/bat-entropy.C tools/BinaryAnalysis/bat-flir-ascribe.C tools/BinaryAnalysis/bat-flir-insert.C tools/BinaryAnalysis/bat-insnfreq.C tools/BinaryAnalysis/bat-linear.C tools/BinaryAnalysis/bat-lsb.C tools/BinaryAnalysis/bat-lsd.C tools/BinaryAnalysis/bat-lsf.C tools/BinaryAnalysis/bat-lsv.C tools/BinaryAnalysis/bat-mem.C tools/BinaryAnalysis/bat-pointers.C tools/BinaryAnalysis/bat-prop.C tools/BinaryAnalysis/bat-scan-magic.C tools/BinaryAnalysis/bat-similar-functions.C tools/BinaryAnalysis/bat-stack-deltas.C tools/BinaryAnalysis/bat-var.C tools/BinaryAnalysis/batSupport.C tools/BinaryAnalysis/batSupport.h,drop,not-applicable,,not run: BinaryAnalysis and external ROSE CMake package plumbing are not retained in REX,BinaryAnalysis SerialIo/flatbuffer refactor touches hard-dropped BinaryAnalysis/tools and absent packaging/stringify files; no retained REX target
d3d977c0455ae5bd9078af03e7bd7875ce73406a,2026-02-01,(Binary Analysis) Mostly finish SerialIo refactoring,src/Rose/BinaryAnalysis/SerialIo.C src/Rose/BinaryAnalysis/SerialIo.h src/Rose/BinaryAnalysis/Serialization/BoostSerialIoBackend.C src/Rose/BinaryAnalysis/Serialization/SerialFrame.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
3382447627aa71586a5dbf9a11615331b26845ea,2026-02-01,(Binary Analysis) Finish boost refactor and start flatbuffer implementation,cmake/rosePublicConfig.h.in.cmake src/Rose/BinaryAnalysis/SerialIo.C src/Rose/BinaryAnalysis/SerialIo.h src/Rose/BinaryAnalysis/Serialization/Boost.C src/Rose/BinaryAnalysis/Serialization/CMakeLists.txt src/Rose/BinaryAnalysis/Serialization/Flatbuffer.C src/Rose/BinaryAnalysis/Serialization/FlatbufferSchema.fbs src/Rose/BinaryAnalysis/Serialization/FlatbufferStorage.C src/Rose/BinaryAnalysis/Serialization/FlatbufferStorage.h src/Rose/BinaryAnalysis/Serialization/FlatbuffersSerialIoBackend.C src/Rose/BinaryAnalysis/Serialization/SerialFrame.C src/Rose/BinaryAnalysis/Serialization/SerialFrame.h tools/BinaryAnalysis/bat-dis.C tools/BinaryAnalysis/batSupport.C,drop,not-applicable,,not run: BinaryAnalysis serialization and public config files are not retained in REX,BinaryAnalysis flatbuffer/boost serialization implementation and absent rosePublicConfig file are outside retained REX
b8eda2eb2e8415a7b84d8effe6880731904868f9,2026-02-01,(Binary Analysis) Schema rework checkpoint,src/Rose/BinaryAnalysis/SerialIo.C src/Rose/BinaryAnalysis/SerialIo.h src/Rose/BinaryAnalysis/Serialization/CMakeLists.txt src/Rose/BinaryAnalysis/Serialization/FlatBuffer.C src/Rose/BinaryAnalysis/Serialization/FlatBuffer.h src/Rose/BinaryAnalysis/Serialization/FlatBufferSchema.fbs src/Rose/BinaryAnalysis/Serialization/FlatBufferSchema.h src/Rose/BinaryAnalysis/Serialization/Flatbuffer.C src/Rose/BinaryAnalysis/Serialization/FlatbufferStorage.C src/Rose/BinaryAnalysis/Serialization/FlatbufferStorage.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
7346a5b42247adbc864cacad753e154e405fe300,2026-02-01,(Binary Analysis) Implement most deserialization logic,src/Rose/BinaryAnalysis/Serialization/CMakeLists.txt src/Rose/BinaryAnalysis/Serialization/FlatBuffer.C src/Rose/BinaryAnalysis/Serialization/FlatBuffer.h src/Rose/BinaryAnalysis/Serialization/FlatBufferSchema.fbs src/Rose/BinaryAnalysis/Serialization/FlatBufferSchema.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
5a9f749b6e1a2116c8c1b3ccd08739dec9edc584,2026-02-01,(Binary Analysis) Remove stale header,src/Rose/BinaryAnalysis/Serialization/FlatbufferSchema.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
374b2ec5d305ab4bacfc1bc6270583e06cbab0da,2026-02-01,(Binary Analysis) Finish serializer prototype,src/Rose/BinaryAnalysis/Serialization/FlatBuffer.C src/Rose/BinaryAnalysis/Serialization/FlatBuffer.h src/Rose/BinaryAnalysis/Serialization/FlatBufferSchema.fbs,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
5f59c2bf2814cfd99dc1e6a892e421b43bc2f7df,2026-02-01,"(Binary Analysis) Handle missing functions, implement bat-flatc",src/Rose/BinaryAnalysis/BasicTypes.h src/Rose/BinaryAnalysis/Partitioner2/Partitioner.h src/Rose/BinaryAnalysis/SerialIo.C src/Rose/BinaryAnalysis/Serialization/FlatBuffer.C src/Rose/BinaryAnalysis/Serialization/FlatBuffer.h src/Rose/BinaryAnalysis/Serialization/SerialFrame.h tools/BinaryAnalysis/CMakeLists.txt tools/BinaryAnalysis/bat-cfg.C tools/BinaryAnalysis/bat-flatc.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
7e3c0b69c2099e68c7d3958ada53942e874bbc1a,2026-02-01,(Binary Analysis) Fix header to conform with policy,src/Rose/BinaryAnalysis/Serialization/FlatBuffer.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
e0bff2bd24d0eef5f30fce173f6dd266fd6e4b0a,2026-02-01,(Binary Analysis) Style tweaks,src/Rose/BinaryAnalysis/Partitioner2/Partitioner.h src/Rose/BinaryAnalysis/SerialIo.C src/Rose/BinaryAnalysis/Serialization/CMakeLists.txt src/Rose/BinaryAnalysis/Serialization/FlatBufferSchema.fbs src/Rose/BinaryAnalysis/Serialization/FlatBufferSchema.h src/Rose/BinaryAnalysis/Serialization/FlatBuffers.C src/Rose/BinaryAnalysis/Serialization/FlatBuffers.h tools/BinaryAnalysis/bat-flatc.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
d53335ae711396faf3e3e3c255c6d4a655fc27ed,2026-02-01,(Binary Analysis) More style edits,docs/Rose/rose.cfg.in src/Rose/BinaryAnalysis/CMakeLists.txt src/Rose/BinaryAnalysis/Serialization.h src/Rose/BinaryAnalysis/Serialization/FlatBufferSchema.h src/Rose/BinaryAnalysis/Serialization/FlatBuffers.h tools/BinaryAnalysis/bat-flatc.C,drop,not-applicable,,not run: BinaryAnalysis and docs/Rose doxygen configuration are not retained in REX,BinaryAnalysis style edits and absent docs/Rose file have no retained REX target
046086df2b5285e82c6ed0dd77bf8a4780b3604e,2026-02-01,(Binary Analysis) Add serialization to binary analysis header,src/Rose/BinaryAnalysis.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
88112c90e462429f1d6d923157ccf2d2a3b9691c,2026-02-01,(Binary Analysis) Fix bad serialization header,src/Rose/BinaryAnalysis/Serialization.h,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
41d65374923ebd7b8eec3dba3f530773dd5c15fd,2026-02-01,(Binary Analysis) Properly depend on sage3,src/Rose/BinaryAnalysis/Serialization/CMakeLists.txt,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
02d515eae427b42ae931387bee7421a721dd16b0,2026-02-01,(Binary Analysis) Add new files to autotools build system,src/Rose/BinaryAnalysis/Serialization/Boost.C src/Rose/BinaryAnalysis/Serialization/FlatBuffers.C src/Rose/BinaryAnalysis/Serialization/FlatBuffers.h src/Rose/BinaryAnalysis/Serialization/SerialFrame.C src/Rose/Makefile.am,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
46ac6dd89f208d90371ef9ea7b51f5170eba64c7,2026-02-01,(Binary Analysis) Add minimal new headers to autoconf build,src/Makefile.am,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
262239ce32308b294730fa884c3efca04641dbac,2026-02-01,(Binary Analysis) Clean up progress reporting,src/Rose/BinaryAnalysis/BasicTypes.h src/Rose/BinaryAnalysis/SerialIo.C src/Rose/BinaryAnalysis/SerialIo.h src/Rose/BinaryAnalysis/Serialization/Boost.C src/Rose/BinaryAnalysis/Serialization/FlatBuffers.C src/Rose/BinaryAnalysis/Serialization/FlatBuffers.h src/Rose/BinaryAnalysis/Serialization/SerialFrame.h tools/BinaryAnalysis/bat-flatc.C,drop,not-applied,N/A,not required,all touched paths are abandoned or inventory-only in REX
f8ae7ddbbfb5c390cf13473e5441c486a3b60239,2026-02-01,(Release) Incremented version to 0.11.145.386,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
59cedda7375ab30b532e4e39dd6b6f52d36ecb07,2026-02-03,(correctness) fix dangling pointer,src/frontend/SageIII/astPostProcessing/fixupConstantFoldedValues.C,drop-superseded,not-applied,,ctest --test-dir build -R 'functional_testTranslatorFoldedConstants|functional_testTranslatorUnfoldedConstants|constantFoldingTest_' --output-on-failure -j32,"upstream skips deleting SgTypeTraitBuiltinOperator as a temporary dangling-pointer workaround; REX supersedes it by detaching memory-pooled expression trees instead of deleting them, and focused constant-folding tests pass"
c2559494f941a1e6d8d3eb01b574deee5a4e5997,2026-02-03,(Release) Incremented version to 0.11.145.387,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
d84986a3692e0c3d7cc4feeebf6e8b5d9220bca9,2026-02-04,(BinaryAnalysis) Make flatbuffers optional for external CMake ROSE consumers,cmake/RoseConfig.cmake.in,drop,not-applicable,,not run: external ROSE CMake package file is absent in REX,flatbuffers option for external ROSE consumers applies to absent cmake/RoseConfig.cmake.in
39e27b6c818ee814e0b6a1914c613ef2a2f04897,2026-02-04,(Engineering) Clean up Phil's and Matt's warnings,src/3rdPartyLibraries/MSTL/JSONGeneration.C src/Sawyer/Message.C,drop,not-applicable,,not run: MSTL and Sawyer files are not retained in REX,warning cleanup only touches absent MSTL and hard-dropped Sawyer files
c78c9d4a5d88d01200f0d7ba0033ccc723c866e6,2026-02-04,(Release) Incremented version to 0.11.145.388,ROSE_VERSION config/SCM_DATE configure.ac src/frontend/CxxFrontend/EDG_VERSION,drop-superseded,deferred-version-marker,N/A,not required,superseded by latest version marker in frozen range
5da7e7b18030b11ad888d8dac1121395aa454ae9,2026-02-05,(Dependence) Revise generation of AST signatures.,src/midend/astUtil/astInterface/AstInterface.C,pick,manual-port,14e849e689cf52e21d7f844f691afdb8a3d0d57e,cmake --build build -j32; ctest --test-dir build -R 'astInterface|dependence|Dependence|DataFlow|ReadWrite|readWrite|astUtil' --output-on-failure -j32,ported GetVariableSignature change to omit AST category prefix from normal signatures while preserving GLOBAL_SIGNATURE and null-node behavior
